feature,enrich_group,ef_lda,pvalue,padj,feature_mod,signed_lda,comparison,condition,genus,abs_lda
Barnesiella,m,4.100892674301054,0.04720176769014229,0.04720176769014229,Barnesiella,4.100892674301054,f vs m,H,Barnesiella,4.100892674301054
Erysipelotrichaceae UCG-003,m,4.00246354427228,0.04653298507451054,0.04653298507451054,Erysipelotrichaceae UCG-003,4.00246354427228,f vs m,H,Erysipelotrichaceae,4.00246354427228
Phascolarctobacterium,m,3.672475192658384,0.018602929901135698,0.018602929901135698,Phascolarctobacterium,3.672475192658384,f vs m,H,Phascolarctobacterium,3.672475192658384
Romboutsia,f,3.6261615592547916,0.02638767759969592,0.02638767759969592,Romboutsia,-3.6261615592547916,f vs m,H,Romboutsia,3.6261615592547916
Intestinibacter,f,3.4302051043609922,0.018602929901135698,0.018602929901135698,Intestinibacter,-3.4302051043609922,f vs m,H,Intestinibacter,3.4302051043609922
Blautia,f,4.330049935516876,0.02423569535069302,0.02423569535069302,Blautia,-4.330049935516876,f vs m,T1D,Blautia,4.330049935516876
Turicibacter,m,2.217841972074722,0.047704705856476,0.047704705856476,Turicibacter,2.217841972074722,f vs m,T1D,Turicibacter,2.217841972074722
Ruminococcus,m,4.451234533174309,0.020488835485437288,0.020488835485437288,Ruminococcus,4.451234533174309,f vs m,T3cDM,Ruminococcus,4.451234533174309
Subdoligranulum,m,4.130573571907004,0.032603706787507854,0.032603706787507854,Subdoligranulum,4.130573571907004,f vs m,T3cDM,Subdoligranulum,4.130573571907004
Negativibacillus,f,3.0329995788066575,0.01231659021380227,0.01231659021380227,Negativibacillus,-3.0329995788066575,f vs m,T3cDM,Negativibacillus,3.0329995788066575
Eubacterium,f,2.9404521731904176,0.048406019176147716,0.048406019176147716,Eubacterium,-2.9404521731904176,f vs m,T3cDM,Eubacterium,2.9404521731904176
Eggerthella,f,2.698831721978708,0.0222955705920471,0.0222955705920471,Eggerthella,-2.698831721978708,f vs m,T3cDM,Eggerthella,2.698831721978708
