ASV_ID	s20011_0001	s20011_0002	s20011_0003	s20011_0004	s20011_0005	s20011_0006	s20011_0007	s20011_0008	s20011_0009	s20011_0010	s20011_0011	s20011_0013	s20011_0014	s20011_0015	s20011_0016	s20011_0017	s20011_0018	s20011_0019	s20011_0020	s20011_0021	s20011_0022	s20011_0023	s20011_0024	s20011_0025	s20011_0026	s20011_0027	s20011_0028	s20011_0029	s20011_0030	s20011_0031	s20011_0032	s20011_0033	s20011_0034	s20011_0035	s20011_0036	s20011_0037	s20011_0038	s20011_0039	s20011_0040	s20011_0041	s20011_0042	s20011_0043	s20011_0044	s20011_0045	s20011_0046	s20011_0047	s20011_0048	s20011_0049
dfa833b266bd2993b86feab3617b34c3	1793	3	1302	66	52	0	0	0	125	0	1603	5468	0	6846	1196	0	11273	7	0	0	24	0	0	99	0	156	204	505	0	1480	691	946	3	0	10961	377	0	0	0	0	22625	149	0	64	0	440	174	0
4abaa483334092f021534a979086baeb	7016	0	417	81	0	1720	1271	0	2098	7446	2052	82	3373	27	122	0	443	0	1300	286	34	8845	0	0	0	412	204	0	0	0	7996	0	0	76	188	205	478	0	0	0	1009	893	0	0	66	399	1056	0
ffc36e27c82042664a16bcd4d380b286	17	4	2	41	3	51	58	0	0	0	5	512	174	80	0	468	19	55	0	0	19	11	0	0	0	4526	3250	812	0	0	0	174	2	174	13267	23	0	225	21003	0	8	20	43	0	0	0	793	0
70d55baf78e9ac4d0babeac5dcbae5c2	372	996	3426	161	0	2428	2489	3756	0	0	2704	1059	2287	582	292	3702	1640	0	994	704	0	0	211	3152	39	40	90	86	107	684	0	0	155	129	0	58	1409	144	33	0	1316	3166	39	132	194	657	0	412
8f6e2a91e20994c00566a5ff2b49506e	2536	226	152	0	370	887	3631	1443	394	236	1095	156	224	244	4914	307	1322	728	268	2024	1687	1654	293	632	1283	127	0	306	863	91	1038	275	214	1731	195	49	633	521	101	80	1518	199	121	230	238	351	163	0
b6635d67cb594473ddba9f8cfba5d13d	0	805	258	0	1395	0	0	443	880	0	0	0	0	264	0	311	1666	1739	3797	27	1358	0	945	2138	197	387	0	966	658	122	0	560	357	373	0	318	5550	3656	81	0	0	1107	1201	731	61	2370	47	835
d4d386b7d01baf327f6b43aa568cb9e7	0	800	244	0	561	0	0	216	21	0	2838	29	0	364	1121	0	0	6440	655	35	344	0	34	0	0	0	0	12	3312	624	0	0	516	387	0	20	14608	0	0	0	9	404	0	835	20	45	4	0
98fcc7e4135d41152d2db711de5c1255	2851	0	2359	0	388	133	0	0	1040	0	0	540	0	350	289	1218	0	4755	72	119	55	2597	55	0	122	124	31	7	520	0	0	292	0	0	0	195	82	407	0	25	61	0	1156	0	69	415	1743	3660
8eb4e34fd58ab95fa2efab34940c01fa	0	0	0	0	0	0	0	0	11	0	0	548	0	0	0	0	0	0	0	5	0	0	711	33	5903	0	0	0	30	0	0	0	0	0	0	8631	0	0	165	7104	0	0	0	0	0	0	0	0
224d266b147588a000917723c0268775	0	0	1238	76	66	0	0	0	1812	300	689	288	522	116	169	0	131	210	19	18	0	0	52	69	0	33	5013	255	442	0	6656	16	286	1655	0	0	43	333	0	0	70	228	0	77	425	88	123	648
c728ad6f5d183cb36fa06b6a3a47758b	41	0	0	141	1014	709	417	1676	348	439	0	0	188	188	1552	762	0	29	1029	0	2375	1100	336	320	225	1065	0	139	612	0	0	93	228	216	0	193	2582	948	0	137	97	450	22	622	28	460	120	144
6251bd9ebf43fae466939ab366f6e547	0	1256	72	693	153	0	0	200	432	0	1191	81	0	354	461	298	38	2512	3031	63	259	0	0	0	341	359	0	0	1607	406	0	255	462	245	0	137	1872	0	23	111	50	37	365	1330	81	1210	0	224
ca60f9527111263bca48622331f2b3f6	0	0	691	0	564	192	0	0	1268	480	740	426	1291	1652	982	45	2011	0	0	340	0	464	40	622	354	0	0	660	0	34	940	899	491	776	0	0	200	404	0	0	769	622	143	392	60	419	437	0
866ea1cc638e4ceb9195a8a6a1869754	0	4500	95	0	425	0	0	19	67	0	117	109	0	44	49	0	0	3952	1555	0	333	0	108	1019	0	0	0	1393	291	88	0	111	408	190	0	0	1899	0	0	0	0	51	0	2196	53	156	20	0
6b6d13f1332283e053c18c3b7774b85c	0	0	0	0	152	0	0	0	0	0	0	575	0	0	0	0	14	0	0	0	8	0	1440	0	6100	0	0	0	0	0	0	0	0	0	0	3557	0	0	0	5688	0	0	0	0	479	0	0	0
4516aa60a483dd8c7bbc57098c45f1a5	0	0	91	88	338	1271	0	0	355	165	0	235	180	269	0	0	0	547	1386	212	60	0	1076	0	783	0	0	242	75	0	0	591	320	607	0	331	3315	1280	0	541	174	346	106	760	359	524	96	474
bbae6ed124f4d6b48435a964a95c8418	646	0	681	242	496	523	72	32	456	966	0	25	85	70	22	113	0	570	549	117	396	0	1100	62	434	0	0	603	510	0	74	474	570	853	13	194	1383	687	0	552	134	721	52	606	114	672	72	52
22f4ee9a41a4d73580bf7ade8e9e017a	693	0	87	569	225	540	534	73	244	125	1101	42	92	180	158	0	1272	668	117	27	67	0	392	326	569	52	0	203	92	0	144	151	191	369	0	265	261	1330	3056	58	30	73	0	325	91	83	0	512
9df251784dde31e05f02b2ee1029d71c	410	0	19	104	173	199	1514	329	570	245	1563	22	403	174	0	207	348	226	164	152	736	657	131	637	136	123	0	76	107	0	851	138	175	195	0	37	321	332	67	78	298	38	93	218	67	226	212	100
3f3a0eaeea9c0690b6ede1b17b4fd8ce	0	40	354	0	251	0	0	0	819	0	0	187	39	29	0	48	542	383	17	3083	2444	0	24	102	0	580	0	0	0	0	68	0	0	0	0	9	44	310	1231	5	0	759	30	89	204	427	0	554
b264ac8ff5f9aff74f0b9aa084d9a9f0	0	0	33	61	202	874	0	0	79	499	766	59	345	41	2096	0	0	0	43	510	339	171	244	594	86	416	0	321	27	0	194	938	54	21	0	0	38	1621	0	94	74	401	551	34	0	161	138	159
25af29e1b2d121f8aae468d270d75518	331	0	0	0	42	102	746	144	455	154	38	113	0	0	747	362	660	708	291	43	526	0	24	822	33	630	0	0	0	0	478	258	316	0	553	83	348	298	125	116	0	0	894	639	217	493	0	0
47f3d645d96038371757074de1d8fb8d	261	0	0	22	0	0	218	24	285	469	121	0	68	0	145	0	0	624	0	0	0	0	0	0	0	7809	0	24	0	0	380	0	73	0	60	0	47	213	0	0	500	0	0	9	0	0	0	14
b6a1cfc87c3ffa7f96227d4a372d8dd7	66	0	412	186	172	793	0	0	202	151	0	0	295	39	205	445	0	1096	0	199	241	0	140	280	125	109	0	65	0	0	909	282	1847	253	0	131	0	587	87	19	448	164	59	183	134	79	858	0
abb9ca3b1bd18ebacf5f1790cf05c84c	0	450	300	29	139	0	0	263	254	0	846	45	0	110	118	312	194	2140	669	37	36	0	44	1189	20	14	0	39	162	173	0	36	41	79	0	12	1484	130	0	0	5	404	215	56	17	448	48	356
df5c1ef25ab497ab767dcbb6be082f83	0	0	0	0	0	40	0	0	0	0	0	0	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4102	0	502	0	0	5172
c7d1ed6c70202259164edf3ee7806f0c	0	330	166	18	96	352	97	72	89	61	1146	33	181	100	1078	156	38	186	86	627	957	20	231	193	143	226	0	60	22	67	106	190	32	214	681	12	139	181	51	5	181	244	19	57	97	83	37	133
