metabolite,sample_id,flux,description
ser_L_m,s20011_0028,1e-06,L-serine
csn_m,s20011_0028,1e-06,cytosine
dgsn_m,s20011_0028,0.0823765362012594,Deoxyguanosine
phe_L_m,s20011_0028,1e-06,L-phenylalanine
pi_m,s20011_0028,1e-06,hydrogenphosphate
strch1_m,s20011_0028,1e-06,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})"
gua_m,s20011_0028,1e-06,Guanine
ala_L_m,s20011_0028,1e-06,L-alanine
cys_L_m,s20011_0028,1e-06,L-cysteine
no2_m,s20011_0028,1e-06,Nitrite
ade_m,s20011_0028,1e-06,Adenine
ncam_m,s20011_0028,1e-06,Nicotinamide
asn_L_m,s20011_0028,0.0225,L-asparagine
gln_L_m,s20011_0028,0.018,L-glutamine
arg_L_m,s20011_0028,0.015,L-argininium(1+)
his_L_m,s20011_0028,0.015,L-histidine
gsn_m,s20011_0028,1e-06,Guanosine
ala_D_m,s20011_0028,1e-06,D-alanine
lys_L_m,s20011_0028,1e-06,L-lysinium(1+)
asp_L_m,s20011_0028,1e-06,L-aspartate(1-)
thr_L_m,s20011_0028,1e-06,L-threonine
gly_m,s20011_0028,1e-06,Glycine
indole_m,s20011_0028,1e-06,Indole
pydxn_m,s20011_0028,1e-06,Pyridoxine
hxan_m,s20011_0028,1e-06,Hypoxanthine
so4_m,s20011_0028,1e-06,sulfate
ocdcea_m,s20011_0028,1e-06,octadecenoate (n-C18:1)
mqn7_m,s20011_0028,0.0014346028892830986,Menaquinone 7
mqn8_m,s20011_0028,1e-06,Menaquinone 8
gthox_m,s20011_0028,0.00032234339821712865,Oxidized glutathione
12dgr180_m,s20011_0028,1e-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
lichn_m,s20011_0028,1e-06,"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951"
amylose300_m,s20011_0028,1e-06,"amylose (n=300 repeat units, alpha-1,4-glc)"
glcmannan_m,s20011_0028,1e-06,"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D"
pect_m,s20011_0028,1e-06,pectins
xylan_m,s20011_0028,1e-06,"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D"
2dmmq8_m,s20011_0028,1e-06,2-Demethylmenaquinone 8
arabinogal_m,s20011_0028,1e-06,"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000"
amylopect900_m,s20011_0028,1e-06,"Amylopectin, 900 repeat units"
levan1000_m,s20011_0028,1e-06,"Levan, 1000 fructose units"
rhamnogalurI_m,s20011_0028,1e-06,"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)"
pullulan1200_m,s20011_0028,1e-06,"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)"
galmannan_m,s20011_0028,1e-06,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,s20011_0028,1e-06,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
4abz_m,s20011_0028,1e-06,4-Aminobenzoate
gthrd_m,s20011_0028,1e-06,Reduced glutathione
cellul_m,s20011_0028,1e-06,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587"
starch1200_m,s20011_0028,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
rhamnogalurII_m,s20011_0028,1e-06,"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>"
homogal_m,s20011_0028,1e-06,"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>"
arabinan101_m,s20011_0028,1e-06,"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>"
dextran40_m,s20011_0028,1e-06,"Dextran 40, 1,6-alpha-D-Glucan"
inulin_m,s20011_0028,1e-06,"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average"
arabinoxyl_m,s20011_0028,1e-06,"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D"
lmn30_m,s20011_0028,1e-06,"laminarin (n=30 repeat units, beta -1,3 glc)"
q8_m,s20011_0028,1e-06,Ubiquinone-8
pydx_m,s20011_0028,1e-06,Pyridoxal
ptrc_m,s20011_0028,0.00011344090949578406,Putrescine
spmd_m,s20011_0028,0.0007581277059394154,Spermidine
thm_m,s20011_0028,0.0007581277059290891,Thiamin
