taxon,sample_id,abundance,growth_rate
Bacteroides,s20011_0002,0.9296218487394957,0.2004804093342387
Blautia,s20011_0002,0.07037815126050419,0.019651466699659403
Akkermansia,s20011_0001,0.0992981997297415,0.04664920952409059
Bacteroides,s20011_0001,0.641558781221394,0.2590237477584212
Blautia,s20011_0001,0.19323481975502374,0.07961283574025056
Faecalibacterium,s20011_0001,0.06590819929384072,0.024118079287497395
Alistipes,s20011_0004,0.21704201237982348,0.17170153261358645
Bacteroides,s20011_0004,0.45067825628868685,0.35243883078407273
Butyrivibrio,s20011_0004,0.10759910443829841,0.08685241259739279
Faecalibacterium,s20011_0004,0.22468062689319107,0.17794976514394487
Alistipes,s20011_0005,0.10642128425685138,0.08095698092709198
Bacteroides,s20011_0005,0.5339067813562712,0.3575804035113988
Blautia,s20011_0005,0.10632126425285057,0.07047215312543391
Faecalibacterium,s20011_0005,0.25335067013402685,0.15563429639220092
Akkermansia,s20011_0003,0.08104593376991315,0.0872602505220496
Alistipes,s20011_0003,0.16659699967488736,0.18653113681121639
Bacteroides,s20011_0003,0.40718034461938596,0.4546927083676877
Barnesiella,s20011_0003,0.09028842134596626,0.10109073577231373
Bifidobacterium,s20011_0003,0.035251497840323255,0.03949403130317293
Blautia,s20011_0003,0.06678742278575078,0.07355581599136396
Coprococcus,s20011_0003,0.05257535646277461,0.05156009479864828
Faecalibacterium,s20011_0003,0.0567089313083461,0.0553068790469522
Streptococcus,s20011_0003,0.043565092192652456,0.04757683572102583
Bacteroides,s20011_0006,0.3888069020320128,0.28409532289342504
Blautia,s20011_0006,0.1987739811556363,0.1394358740281932
Faecalibacterium,s20011_0006,0.2358383471449654,0.1644710529220465
Roseburia,s20011_0006,0.08474287660347372,0.062079353943990404
Subdoligranulum,s20011_0006,0.09183789306391191,0.06493404973488073
Akkermansia,s20011_0007,0.10421897307143208,0.06919111637247059
Anaerostipes,s20011_0007,0.036971397627135326,0.02235968538707847
Bacteroides,s20011_0007,0.5251809186235415,0.3133347990912137
Blautia,s20011_0007,0.22222222222222218,0.14223462522692898
Faecalibacterium,s20011_0007,0.06926598729877419,0.038653051081485895
Parasutterella,s20011_0007,0.0421405011568946,0.1353770217045652
Bacteroides,s20011_0008,0.5661188024278796,0.2689475256226539
Blautia,s20011_0008,0.20343722294209915,0.10835305714052962
Faecalibacterium,s20011_0008,0.12453113278319577,0.05630348043677628
Lachnoclostridium,s20011_0008,0.05578667394121257,0.026989843712137487
Roseburia,s20011_0008,0.050126167905612765,0.024053351123340807
Alistipes,s20011_0009,0.17834696513129575,0.1568845394937368
Bacteroides,s20011_0009,0.4950925527335342,0.3910350791689765
Barnesiella,s20011_0009,0.06435643564356436,0.05658941837581595
Bifidobacterium,s20011_0009,0.07946620749031426,0.0669418461608352
Blautia,s20011_0009,0.040981489453293156,0.030720421381069115
