taxon,sample_id,abundance,growth_rate
Akkermansia,s20011_0001,0.0891654924064506,0.0254553362997131
Anaerostipes,s20011_0001,0.010764051980585564,0.0028349026782799568
Anaerotruncus,s20011_0001,0.00046970408642555187,9.609838150024631e-05
Bacteroides,s20011_0001,0.5760920620009394,0.21163935474355275
Bifidobacterium,s20011_0001,0.016439643024894316,0.003078532990110842
Blautia,s20011_0001,0.1735165179270393,0.05251242476786022
Butyricicoccus,s20011_0001,0.008337247534053547,0.004298244594212631
Desulfovibrio,s20011_0001,0.0010176921872553624,0.0002065094427487752
Dialister,s20011_0001,0.002700798496946923,0.0005351758349235019
Eggerthella,s20011_0001,0.0005871301080319399,0.0001463325490967315
Erysipelatoclostridium,s20011_0001,0.0011742602160638798,0.00038261863102073435
Escherichia,s20011_0001,0.0006654141224361985,0.0001285493037124217
Faecalibacterium,s20011_0001,0.059182714889619535,0.016078365716661682
Faecalitalea,s20011_0001,0.0019962423673085955,0.0009937746247208807
Flavonifractor,s20011_0001,0.0017613903240958197,0.0012971293776756034
Gordonibacter,s20011_0001,0.0001565680288085173,2.804529290312501e-05
Holdemania,s20011_0001,0.0004305620792234226,7.983202105425084e-05
Hungatella,s20011_0001,0.0005088460936276812,0.00020876655324258685
Intestinibacter,s20011_0001,0.0028182245185533112,0.0007498520252873855
Lachnoclostridium,s20011_0001,0.0156176608736496,0.003150107565579287
Lachnospira,s20011_0001,0.007397839361202442,0.00654260371808131
Parasutterella,s20011_0001,0.007554407390010959,0.18003364678289854
Roseburia,s20011_0001,0.012447158290277123,0.0033915678496681837
Ruminococcus,s20011_0001,0.003875058713010803,0.0012009013261724726
Streptococcus,s20011_0001,0.0009394081728511037,0.0003090446947805964
Subdoligranulum,s20011_0001,0.0030139345545639584,0.000557453412277407
Tyzzerella,s20011_0001,0.0013699702520745263,0.0002981132468768597
Akkermansia,s20011_0006,0.0019721213751064497,0.0008123411863700126
Alistipes,s20011_0006,0.030030030030030026,0.007388860418890808
Anaerostipes,s20011_0006,0.016045896642911565,0.005627999917597448
Bacteroides,s20011_0006,0.30702344135179954,0.40864250504219873
Barnesiella,s20011_0006,0.009457218412442292,0.0027929420479982097
Bifidobacterium,s20011_0006,0.009143471830038993,0.002370629201457893
Bilophila,s20011_0006,0.0001792837613733136,4.3752193398436504e-05
Blautia,s20011_0006,0.15696293308233605,0.04079189232938841
Butyricicoccus,s20011_0006,0.006230110707722647,0.0036860661642111824
Butyricimonas,s20011_0006,0.0005378512841199408,0.00025596532122440296
Collinsella,s20011_0006,0.005468154721886065,0.0010625398623578088
Coprococcus,s20011_0006,0.0148357312536417,0.0030358569181699103
Dialister,s20011_0006,0.006185289767379319,0.0014434694216625796
