taxon,sample_id,abundance,growth_rate
Akkermansia,s20011_0004,0.011315874555447787,0.0057815310523637534
Alistipes,s20011_0004,0.17760534540359954,0.05227155570177002
Anaerostipes,s20011_0004,0.0036641879512878542,0.0013609322170580664
Bacteroides,s20011_0004,0.3687897402737364,0.3343275263405799
Barnesiella,s20011_0004,0.008944929410496821,0.0029984495739416544
Bifidobacterium,s20011_0004,0.004849660523763337,0.0014823320939673583
Bilophila,s20011_0004,0.00215540467722815,0.0006179759069086751
Blautia,s20011_0004,0.011208104321586379,0.0032418245423567822
Butyricicoccus,s20011_0004,0.0005388511693070375,0.0005111462817790767
Butyrivibrio,s20011_0004,0.0880482810647699,0.025952371940334968
Coprococcus,s20011_0004,0.005280741459208967,0.0012381878614875124
Dorea,s20011_0004,0.010561482918417934,0.003028603596363279
Escherichia,s20011_0004,0.008298308007328377,0.0025633307190088732
Faecalibacterium,s20011_0004,0.18385601896756118,0.06477006643274881
Intestinibacter,s20011_0004,0.0005388511693070375,0.0002209055182379512
Lachnoclostridium,s20011_0004,0.0011854725724754825,0.0003202425280639913
Lachnospira,s20011_0004,0.0072206056687143015,0.00837185734741488
Lactococcus,s20011_0004,0.000215540467722815,9.79314839171612e-05
Odoribacter,s20011_0004,0.021230736070697278,0.006659376123345804
Oxalobacter,s20011_0004,0.000215540467722815,6.154018423135792e-05
Parabacteroides,s20011_0004,0.00032331070158422246,9.791704509395218e-05
Parasutterella,s20011_0004,0.01541114344218127,0.0067131083253965185
Phascolarctobacterium,s20011_0004,0.007543916370298524,0.0029698132361651803
Roseburia,s20011_0004,0.011962495958616232,0.004578097088739244
Ruminococcus,s20011_0004,0.020799655135251647,0.008540195175786228
Streptococcus,s20011_0004,0.0005388511693070375,0.00023864054137123604
Subdoligranulum,s20011_0004,0.027696950102381723,0.008491880680299711
Akkermansia,s20011_0005,0.007180283330098972,0.0035304279262010517
Alistipes,s20011_0005,0.06882722038941717,0.026344356900997925
Anaerostipes,s20011_0005,0.007633093990555663,0.0029768203160571733
Bacteroides,s20011_0005,0.3453004722168316,0.3738210063984297
Barnesiella,s20011_0005,0.023222718157707482,0.00902302987352815
