taxon,sample_id,abundance,growth_rate
Acidaminococcus,s20011_0002,0.007780587434351294,0.0017571307928492728
Adlercreutzia,s20011_0002,0.00019451468585878235,0.11859708265762404
Akkermansia,s20011_0002,0.00014588601439408674,4.176303529631991e-05
Alistipes,s20011_0002,0.0009725734292939117,0.00029788605867959994
Anaerostipes,s20011_0002,0.0009725734292939117,0.0003018031573293836
Bacteroides,s20011_0002,0.8176911106788564,0.1791610463365771
Barnesiella,s20011_0002,0.0018965181871231278,0.00046945356667399754
Bifidobacterium,s20011_0002,0.003160863645205213,0.0007247620905559978
Blautia,s20011_0002,0.061904298774557484,0.01324222241342253
Butyricicoccus,s20011_0002,0.006467613304804513,0.003301634844853719
Butyricimonas,s20011_0002,0.013372884652791284,0.0028371254739439264
Collinsella,s20011_0002,0.0013616028010114765,0.0002069880704006129
Desulfovibrio,s20011_0002,0.010649679050768333,0.0022047808393186813
Dialister,s20011_0002,0.003160863645205213,0.0006171612222287876
Dorea,s20011_0002,0.010698307722233028,0.002308659682027104
Eggerthella,s20011_0002,0.0003404007002528691,9.025084504976315e-05
Erysipelatoclostridium,s20011_0002,0.0016047461583349545,0.00037010298011833965
Escherichia,s20011_0002,0.0003404007002528691,7.566669144744421e-05
Flavonifractor,s20011_0002,0.002139661544446606,0.0018045769703641655
Holdemania,s20011_0002,0.000583544057576347,0.00012645820692322132
Hungatella,s20011_0002,0.00048628671464695587,9.967535416953849e-05
Intestinibacter,s20011_0002,0.0002917720287881735,6.889394076915265e-05
Lachnoclostridium,s20011_0002,0.030441548336899434,0.006847662220659544
Oxalobacter,s20011_0002,0.002139661544446606,0.000452594559123013
Parabacteroides,s20011_0002,0.019451468585878234,0.004464758081465495
Pseudoflavonifractor,s20011_0002,0.00024314335732347793,5.493265596917453e-05
Ruminococcus,s20011_0002,0.00014588601439408674,5.2779372783304006e-05
Streptococcus,s20011_0002,0.00024314335732347793,0.00010510574283114057
Sutterella,s20011_0002,0.0008753160863645206,0.0002028352299928452
Veillonella,s20011_0002,0.00024314335732347793,6.998341622109596e-05
Acidaminococcus,s20011_0003,0.007472384665367121,0.005231380192834686
Actinomyces,s20011_0003,0.00016244314489928524,0.00012148387079221064
Adlercreutzia,s20011_0003,0.0009746588693957114,0.038580601224674146
Akkermansia,s20011_0003,0.0708658219623132,0.05830864217932413
Alistipes,s20011_0003,0.14567089018843404,0.10679706672814872
Anaerostipes,s20011_0003,0.013888888888888888,0.009953691115262564
Bacteroides,s20011_0003,0.35603476283300844,0.32219891929205746
Barnesiella,s20011_0003,0.07894736842105263,0.05629477993672341
Bifidobacterium,s20011_0003,0.030823586744639375,0.022088834396703862
Bilophila,s20011_0003,0.001299545159194282,0.0008595371809788185
Blautia,s20011_0003,0.05839831059129305,0.047042480693110005
Butyricicoccus,s20011_0003,0.00024366471734892786,0.0002493248799217354
Butyricimonas,s20011_0003,0.002071150097465887,0.001473385283360539
Collinsella,s20011_0003,0.007959714100064977,0.005352800220614424
Coprobacillus,s20011_0003,0.0005685510071474985,0.00033045651026332413
Coprococcus,s20011_0003,0.04597141000649773,0.030229893851844332
Dorea,s20011_0003,0.01823424301494477,0.011926725684589391
Enterococcus,s20011_0003,0.0016650422352176737,0.0012037265265039873
Erysipelatoclostridium,s20011_0003,0.0009746588693957114,0.0006973247347440715
Faecalibacterium,s20011_0003,0.04958576998050682,0.03513963514470341
Intestinibacter,s20011_0003,0.005847953216374269,0.0041214553102324365
Lachnoclostridium,s20011_0003,0.0006903833658219623,0.0004924617078602954
Lachnospira,s20011_0003,0.00024366471734892786,0.00021745881679382172
Megasphaera,s20011_0003,0.0025584795321637425,0.016981831370418823
Odoribacter,s20011_0003,0.0013401559454191032,0.0009606799746135358
Parabacteroides,s20011_0003,0.005482456140350877,0.003915447258227441
