sample_id,taxon,TSNE 1,TSNE 2
s20011_0001,Akkermansia,-6.646024,-7.329967
s20011_0001,Anaerostipes,-4.4596157,18.26087
s20011_0001,Anaerotruncus,57.763218,14.070005
s20011_0001,Bacteroides,-36.644543,9.407182
s20011_0001,Bifidobacterium,35.365025,11.87821
s20011_0001,Blautia,-23.906338,-9.794666
s20011_0001,Butyricicoccus,-43.874638,-18.870472
s20011_0001,Desulfovibrio,55.808582,-14.129892
s20011_0001,Dialister,5.7327194,-7.742749
s20011_0001,Eggerthella,33.25649,-11.041386
s20011_0001,Erysipelatoclostridium,8.850101,55.39905
s20011_0001,Escherichia,37.393177,-2.8360085
s20011_0001,Faecalibacterium,-58.81636,-2.5223303
s20011_0001,Faecalitalea,17.43258,4.801232
s20011_0001,Flavonifractor,-20.77978,-57.55037
s20011_0001,Gordonibacter,40.57147,-5.215007
s20011_0001,Holdemania,23.759604,7.380394
s20011_0001,Hungatella,-1.4717975,60.453075
s20011_0001,Intestinibacter,63.77521,-7.1099615
s20011_0001,Lachnoclostridium,-29.322634,-42.6563
s20011_0001,Lachnospira,-51.51357,-6.2763906
s20011_0001,Parasutterella,-68.83971,6.7471867
s20011_0001,Roseburia,-30.88163,44.300438
s20011_0001,Ruminococcus,-39.968117,-61.746147
s20011_0001,Streptococcus,-4.30092,61.022507
s20011_0001,Subdoligranulum,44.774754,9.956141
s20011_0001,Tyzzerella,17.633963,9.372473
s20011_0006,Akkermansia,5.3287797,-7.7747245
s20011_0006,Alistipes,43.46204,37.55798
s20011_0006,Anaerostipes,-4.9123664,19.955767
s20011_0006,Bacteroides,-33.90512,11.638552
s20011_0006,Barnesiella,8.144059,-22.15294
s20011_0006,Bifidobacterium,35.187725,11.657578
s20011_0006,Bilophila,30.724485,-1.9012756
s20011_0006,Blautia,-22.845425,-9.611541
s20011_0006,Butyricicoccus,-42.062122,-21.082306
s20011_0006,Butyricimonas,17.089556,-16.443031
s20011_0006,Collinsella,-8.756641,61.08721
s20011_0006,Coprococcus,-36.612755,-62.425873
s20011_0006,Dialister,0.7638167,-6.4653153
s20011_0006,Dorea,-23.730839,-58.449368
s20011_0006,Enterococcus,-3.8794143,60.918327
s20011_0006,Erysipelatoclostridium,-3.8825505,56.531662
s20011_0006,Escherichia,16.422586,-20.023893
s20011_0006,Faecalibacterium,-68.47277,0.8883333
s20011_0006,Gordonibacter,7.371861,-9.218321
s20011_0006,Holdemania,23.564756,7.405163
s20011_0006,Intestinibacter,63.572315,-9.876365
s20011_0006,Lachnoclostridium,16.18459,50.34044
s20011_0006,Lachnospira,-26.086075,-45.417637
s20011_0006,Lactobacillus,24.73087,40.381527
s20011_0006,Lactococcus,-28.446033,-42.616764
s20011_0006,Marvinbryantia,44.793633,11.161353
s20011_0006,Methanosphaera,17.07087,-12.395741
s20011_0006,Mogibacterium,24.628838,43.675964
s20011_0006,Odoribacter,4.897368,-27.880108
s20011_0006,Parabacteroides,44.352146,-19.434752
s20011_0006,Roseburia,-40.58943,37.562363
s20011_0006,Ruminococcus,-53.737404,-6.648217
