sample_id,taxon,TSNE 1,TSNE 2
s20011_0004,Akkermansia,72.2503,22.707464
s20011_0004,Alistipes,-17.63324,-72.31153
s20011_0004,Anaerostipes,10.789287,31.528658
s20011_0004,Bacteroides,-0.37994704,-68.31191
s20011_0004,Barnesiella,23.062468,-35.4276
s20011_0004,Bifidobacterium,-29.221869,-37.496273
s20011_0004,Bilophila,26.632217,-6.901932
s20011_0004,Blautia,46.82582,-16.912611
s20011_0004,Butyricicoccus,59.63113,-41.206577
s20011_0004,Butyrivibrio,19.488306,11.069592
s20011_0004,Coprococcus,-17.425177,26.167591
s20011_0004,Dorea,71.087296,-29.666916
s20011_0004,Escherichia,44.321457,-17.397764
s20011_0004,Faecalibacterium,-9.800219,68.95102
s20011_0004,Intestinibacter,-23.077997,-1.09503
s20011_0004,Lachnoclostridium,-52.62891,18.988546
s20011_0004,Lachnospira,4.730267,58.197964
s20011_0004,Lactococcus,-61.596424,8.182454
s20011_0004,Odoribacter,66.26263,0.1550432
s20011_0004,Oxalobacter,-55.136227,-9.471962
s20011_0004,Parabacteroides,-23.340836,-20.423782
s20011_0004,Parasutterella,-5.866082,38.14728
s20011_0004,Phascolarctobacterium,-63.081715,-46.93375
s20011_0004,Roseburia,-51.33713,53.760395
s20011_0004,Ruminococcus,15.576719,50.201443
s20011_0004,Streptococcus,-46.94365,28.394407
s20011_0004,Subdoligranulum,-60.35401,50.36477
s20011_0005,Akkermansia,70.63867,21.659197
s20011_0005,Alistipes,-23.485394,-70.26471
s20011_0005,Anaerostipes,15.869572,31.239664
s20011_0005,Bacteroides,-0.9026206,-68.356575
s20011_0005,Barnesiella,18.756945,-38.253143
s20011_0005,Bifidobacterium,-36.00513,-45.91077
s20011_0005,Bilophila,20.82784,-7.277121
s20011_0005,Blautia,18.160654,-66.6081
s20011_0005,Butyricicoccus,48.810387,48.76114
s20011_0005,Butyricimonas,31.671364,-12.408701
s20011_0005,Collinsella,-43.69519,21.157314
s20011_0005,Coprobacillus,-21.33794,-1.1257099
s20011_0005,Coprococcus,-31.121141,35.20059
s20011_0005,Desulfovibrio,-6.322229,-19.36031
s20011_0005,Dialister,63.306877,21.207903
s20011_0005,Dorea,30.819183,64.72709
s20011_0005,Erysipelatoclostridium,-63.33454,4.1099277
s20011_0005,Faecalibacterium,-10.166788,69.65006
s20011_0005,Haemophilus,-27.718903,-21.35128
s20011_0005,Holdemanella,18.391855,11.064371
s20011_0005,Intestinibacter,-63.041615,-38.118916
s20011_0005,Lachnoclostridium,61.10579,-39.15793
s20011_0005,Lachnospira,9.708961,54.882393
s20011_0005,Lactococcus,-61.16171,9.2661085
s20011_0005,Marvinbryantia,-25.962507,51.672935
s20011_0005,Odoribacter,63.267014,-2.2170973
s20011_0005,Parabacteroides,-4.6237736,-42.318466
s20011_0005,Parasutterella,-5.3908534,41.17817
s20011_0005,Roseburia,-62.00567,48.83039
s20011_0005,Ruminococcus,4.879268,57.585083
s20011_0005,Slackia,-39.294388,-19.395739
s20011_0005,Streptococcus,51.190544,-57.5361
s20011_0005,Subdoligranulum,-61.82393,47.288677
s20011_0005,Veillonella,0.3534368,-3.994662
s20011_0009,Acidaminococcus,-20.213766,-44.240116
s20011_0009,Adlercreutzia,-15.842438,78.445076
s20011_0009,Akkermansia,69.96433,21.245144
s20011_0009,Alistipes,-16.675976,-72.531006
s20011_0009,Anaerostipes,16.25935,31.185663
s20011_0009,Anaerotruncus,-33.456703,-9.163664
s20011_0009,Bacteroides,1.2245679,-68.65488
s20011_0009,Barnesiella,13.272224,-44.34286
s20011_0009,Bifidobacterium,-39.006416,-47.959866
s20011_0009,Bilophila,23.828592,-7.6046357
s20011_0009,Blautia,28.80658,-56.01009
s20011_0009,Brachyspira,-7.586134,-19.952053
s20011_0009,Butyricicoccus,15.933535,49.213196
s20011_0009,Butyricimonas,39.16075,-21.853569
s20011_0009,Collinsella,10.34625,88.52538
s20011_0009,Coprococcus,-28.378925,30.83434
s20011_0009,Dialister,63.605644,21.146017
s20011_0009,Dorea,57.617706,-55.21636
s20011_0009,Eggerthella,-7.32782,-8.833017
s20011_0009,Erysipelatoclostridium,-52.182987,12.33743
s20011_0009,Escherichia,-0.72537935,-8.74237
s20011_0009,Faecalibacterium,-8.74366,66.73118
s20011_0009,Flavonifractor,45.487442,64.06421
s20011_0009,Gordonibacter,-10.782407,-20.838865
s20011_0009,Holdemanella,-3.4388614,14.528947
s20011_0009,Holdemania,-2.3218012,14.024188
s20011_0009,Intestinibacter,-23.38291,-2.5144875
s20011_0009,Lachnoclostridium,19.576374,81.36838
s20011_0009,Lachnospira,15.88718,92.89523
s20011_0009,Odoribacter,57.57871,-5.553535
s20011_0009,Oxalobacter,-75.7273,11.265335
s20011_0009,Parabacteroides,-10.750028,-34.41607
s20011_0009,Parasutterella,-5.4442697,40.795994
s20011_0009,Phascolarctobacterium,-58.677242,-45.272602
s20011_0009,Pseudoflavonifractor,-23.825317,7.5329957
s20011_0009,Roseburia,-45.408268,53.03092
s20011_0009,Ruminococcus,11.505993,87.830315
s20011_0009,Streptococcus,49.405163,-60.69431
s20011_0009,Subdoligranulum,-40.407635,56.516544
s20011_0010,Akkermansia,31.889294,12.93066
s20011_0010,Alistipes,-21.010624,-71.48801
s20011_0010,Anaerostipes,25.700687,29.459396
s20011_0010,Anaerotruncus,-35.87491,-6.906222
s20011_0010,Bacteroides,5.7523746,-70.90599
s20011_0010,Barnesiella,14.829006,-44.340584
s20011_0010,Bifidobacterium,-35.764935,-45.618797
s20011_0010,Bilophila,27.6675,-10.930753
s20011_0010,Blautia,30.186657,-52.139606
s20011_0010,Butyricicoccus,22.853287,82.179405
s20011_0010,Butyricimonas,31.523783,-11.898311
s20011_0010,Collinsella,-66.23287,-2.4187245
s20011_0010,Coprococcus,-28.436018,30.906027
s20011_0010,Desulfovibrio,-14.3142805,-2.4586742
s20011_0010,Dialister,-7.4149265,-19.855692
s20011_0010,Dorea,-52.402042,13.936836
s20011_0010,Escherichia,-1.6808772,-8.269308
s20011_0010,Faecalibacterium,-7.8114333,60.965233
s20011_0010,Lachnoclostridium,62.14845,-38.222256
