sample_id,taxon,TSNE 1,TSNE 2
s20011_0002,Acidaminococcus,-11.884669,-18.028996
s20011_0002,Adlercreutzia,7.3939714,-72.183525
s20011_0002,Akkermansia,-41.993656,-22.03568
s20011_0002,Alistipes,-32.24687,-32.699764
s20011_0002,Anaerostipes,-30.871841,-68.74046
s20011_0002,Bacteroides,-26.439907,57.660286
s20011_0002,Barnesiella,-14.50929,7.6776075
s20011_0002,Bifidobacterium,-25.935974,-24.133335
s20011_0002,Blautia,10.046406,72.179565
s20011_0002,Butyricicoccus,42.286095,-49.066685
s20011_0002,Butyricimonas,-6.742089,21.05186
s20011_0002,Collinsella,32.896523,-2.7830367
s20011_0002,Desulfovibrio,-0.8032795,-14.972656
s20011_0002,Dialister,4.8087964,-10.587537
s20011_0002,Dorea,65.42624,22.922464
s20011_0002,Eggerthella,-41.487648,-10.092436
s20011_0002,Erysipelatoclostridium,33.073505,23.66107
s20011_0002,Escherichia,-20.488499,2.1659584
s20011_0002,Flavonifractor,62.81209,-28.776424
s20011_0002,Holdemania,-42.31679,8.994621
s20011_0002,Hungatella,33.755653,13.685479
s20011_0002,Intestinibacter,-8.497255,-38.933178
s20011_0002,Lachnoclostridium,38.513775,-51.643795
s20011_0002,Oxalobacter,17.895546,47.771378
s20011_0002,Parabacteroides,-61.73009,-12.999467
s20011_0002,Pseudoflavonifractor,-13.4026575,-37.960056
s20011_0002,Ruminococcus,33.195465,-14.84693
s20011_0002,Streptococcus,33.987743,11.2805605
s20011_0002,Sutterella,-25.946571,9.576525
s20011_0002,Veillonella,-28.90869,-3.4018364
s20011_0003,Acidaminococcus,-9.132091,-17.230488
s20011_0003,Actinomyces,30.78765,-15.162628
s20011_0003,Adlercreutzia,11.847443,-72.08458
s20011_0003,Akkermansia,-3.8385808,38.60457
s20011_0003,Alistipes,8.545254,25.451277
s20011_0003,Anaerostipes,-23.197824,-55.81347
s20011_0003,Bacteroides,-27.864494,62.072372
s20011_0003,Barnesiella,0.35500887,26.50752
s20011_0003,Bifidobacterium,10.101116,10.690896
s20011_0003,Bilophila,-40.372395,36.687263
s20011_0003,Blautia,-6.8604445,71.556076
s20011_0003,Butyricicoccus,29.941196,43.05867
s20011_0003,Butyricimonas,-7.7229953,17.804604
s20011_0003,Collinsella,65.65074,-21.614777
s20011_0003,Coprobacillus,-19.109838,-2.7166233
s20011_0003,Coprococcus,-66.56635,36.593983
s20011_0003,Dorea,37.589985,-48.14316
s20011_0003,Enterococcus,71.425354,4.480868
s20011_0003,Erysipelatoclostridium,31.28446,50.393692
s20011_0003,Faecalibacterium,13.589495,-76.06681
s20011_0003,Intestinibacter,4.5954266,-38.97181
s20011_0003,Lachnoclostridium,34.567497,46.488888
s20011_0003,Lachnospira,30.431446,39.51912
s20011_0003,Megasphaera,-55.920612,14.499539
s20011_0003,Odoribacter,-18.323627,16.484165
s20011_0003,Parabacteroides,-61.071518,-12.7525425
s20011_0003,Paraprevotella,-54.224445,8.409595
s20011_0003,Parasutterella,-1.6184927,-74.722084
s20011_0003,Phascolarctobacterium,13.100205,-40.779354
s20011_0003,Roseburia,-77.36442,26.24795
s20011_0003,Ruminococcus,27.931875,-63.548477
s20011_0003,Staphylococcus,43.675785,49.968086
s20011_0003,Streptococcus,19.143127,-74.18849
s20011_0003,Subdoligranulum,8.701331,46.81224
s20011_0007,Akkermansia,1.352425,-5.965799
s20011_0007,Alistipes,-31.89788,-32.663868
s20011_0007,Anaerostipes,-38.742203,-29.5643
s20011_0007,Anaerotruncus,-48.624813,-27.29554
s20011_0007,Bacteroides,-26.989296,60.21799
s20011_0007,Blautia,-36.115498,-20.734621
s20011_0007,Butyricicoccus,62.727592,27.479254
s20011_0007,Coprococcus,-50.87511,-41.295166
s20011_0007,Dorea,-50.707664,-41.9753
s20011_0007,Erysipelatoclostridium,-49.20848,-35.80686
s20011_0007,Escherichia,-46.485332,-22.032131
s20011_0007,Faecalibacterium,36.332493,0.430505
s20011_0007,Faecalitalea,-46.90659,9.67246
s20011_0007,Flavonifractor,58.513073,-36.784164
s20011_0007,Lachnoclostridium,-50.649273,-45.02473
s20011_0007,Odoribacter,-46.68383,-19.91107
s20011_0007,Oribacterium,32.311527,41.227104
s20011_0007,Parabacteroides,-47.28926,-25.351368
s20011_0007,Parasutterella,26.85889,29.796505
s20011_0007,Phascolarctobacterium,-9.960634,-41.023457
s20011_0007,Roseburia,-75.97052,-2.7764914
s20011_0007,Ruminococcus,-50.65043,-44.898403
s20011_0007,Streptococcus,-48.854626,-35.32758
s20011_0008,Anaerostipes,-26.76336,-62.507744
s20011_0008,Bacteroides,-28.260458,59.499756
s20011_0008,Barnesiella,-1.1712656,20.576841
s20011_0008,Bilophila,-40.24224,31.487005
s20011_0008,Blautia,-6.7743425,72.90789
s20011_0008,Butyricicoccus,42.71515,-48.674034
s20011_0008,Coprococcus,-81.75897,6.7045045
s20011_0008,Dialister,5.4347296,-11.999
s20011_0008,Dorea,34.344376,28.505377
s20011_0008,Eggerthella,-40.880005,-9.386469
s20011_0008,Erysipelatoclostridium,31.398777,-12.901768
s20011_0008,Escherichia,-18.627544,7.0129566
s20011_0008,Faecalibacterium,20.561422,-66.88638
s20011_0008,Fusobacterium,-48.29945,-24.39941
s20011_0008,Intestinibacter,-9.268061,-39.172295
s20011_0008,Lachnoclostridium,57.547894,-35.38959
s20011_0008,Marvinbryantia,-80.43577,8.030342
s20011_0008,Odoribacter,-18.105719,19.97998
s20011_0008,Oxalobacter,30.80127,-11.170849
s20011_0008,Parabacteroides,-48.92249,-17.76937
s20011_0008,Parasutterella,-3.4729671,-75.65349
s20011_0008,Roseburia,-75.160355,29.172178
s20011_0008,Ruminococcus,28.422995,38.4949
s20011_0008,Staphylococcus,33.19732,-1.5290917
s20011_0008,Streptococcus,70.17655,-9.3306055
s20011_0008,Tyzzerella,-37.054222,10.52413
s20011_0013,Akkermansia,10.622724,55.30616
s20011_0013,Alistipes,-6.0208592,53.13188
s20011_0013,Alloprevotella,-20.040096,18.676636
s20011_0013,Anaerofustis,-5.7025414,-33.864796
s20011_0013,Anaerostipes,-26.234423,-61.554787
s20011_0013,Anaerotruncus,-60.902348,-30.553848
s20011_0013,Bacteroides,-37.79047,54.4378
s20011_0013,Barnesiella,-13.975934,7.982934
s20011_0013,Bifidobacterium,10.683619,8.830039
s20011_0013,Blautia,10.248756,71.40453
s20011_0013,Butyricicoccus,69.55612,18.31798
s20011_0013,Butyricimonas,-6.86835,19.842327
s20011_0013,Catenibacterium,-54.220196,14.842575
s20011_0013,Cloacibacillus,4.0554967,24.119335
s20011_0013,Collinsella,62.81717,28.505646
s20011_0013,Coprococcus,35.727707,30.043411
s20011_0013,Desulfovibrio,-1.067516,-14.996274
s20011_0013,Dorea,26.755877,37.744816
s20011_0013,Eggerthella,-40.207787,-7.737585
s20011_0013,Enterococcus,71.05154,17.249645
s20011_0013,Escherichia,2.8280764,23.7841
s20011_0013,Faecalibacterium,28.506376,-64.83834
s20011_0013,Haemophilus,-34.88292,-21.994574
s20011_0013,Intestinibacter,3.2502341,-39.891544
s20011_0013,Kandleria,72.54328,-7.8562226
s20011_0013,Lachnoclostridium,62.41087,-27.604593
s20011_0013,Lachnospira,65.25628,-24.584116
s20011_0013,Marvinbryantia,-79.11251,4.3657036
s20011_0013,Odoribacter,-8.426396,29.27616
s20011_0013,Olsenella,17.607136,-39.618652
s20011_0013,Oribacterium,59.10298,30.475132
s20011_0013,Parabacteroides,-63.033897,-9.91784
s20011_0013,Parasutterella,11.455568,-69.08739
s20011_0013,Phascolarctobacterium,15.447934,-40.356377
s20011_0013,Roseburia,-65.117004,39.640614
s20011_0013,Ruminiclostridium,33.582592,-9.752418
