"metabolite","t_value","estimate","p_value","metabolite_clean","description","formula","kegg_id.id","kegg_id.link","description_ordered","class"
"succ[e]",0.1346224,0.03196556,0.90523595,"succ","Succinate","C4H4O4",C00042,http://identifiers.org/kegg.compound/C00042,"Succinate","Carboxylic acids"
"ptrc[e]",0.3177360,0.13479283,0.77151690,"ptrc","Putrescine","C4H14N2",C00134,http://identifiers.org/kegg.compound/C00134,"Putrescine","Amino acid related"
"akg[e]",0.3907761,0.13479283,0.76284031,"akg","2-Oxoglutarate","C5H4O5",C00026,http://identifiers.org/kegg.compound/C00026,"2-Oxoglutarate","Carboxylic acids"
"malt[e]",1.0419384,0.10863486,0.31643048,"malt","Maltose C12H22O11","C12H22O11",NA,NA,"Maltose C12H22O11","Carbohydrates"
"for[e]",1.1727781,0.07926194,0.25466448,"for","Formate","CH1O2",C00058,http://identifiers.org/kegg.compound/C00058,"Formate","SCFA"
"gthrd[e]",1.5083665,0.18607070,0.16238677,"gthrd","Reduced glutathione","C10H15N3O6S",NA,NA,"Reduced glutathione","Amino acid related"
"acnam[e]",1.5160526,0.10157783,0.14374396,"acnam","N-Acetylneuraminate","C11H18NO9",C00270,http://identifiers.org/kegg.compound/C00270,"N-Acetylneuraminate","Carbohydrates"
"dgsn[e]",1.5160526,0.10157783,0.14374396,"dgsn","Deoxyguanosine","C10H13N5O4",C00330,http://identifiers.org/kegg.compound/C00330,"Deoxyguanosine","Nucleotides"
"fum[e]",1.5160526,0.10157783,0.14374396,"fum","Fumarate","C4H2O4",NA,NA,"Fumarate","Carboxylic acids"
"ac[e]",1.5160526,0.10157783,0.14374396,"ac","Acetate","C2H3O2",NA,NA,"Acetate","SCFA"
"ca2[e]",1.5713161,0.14857101,0.13842986,"ca2","Calcium","Ca",C00076,http://identifiers.org/kegg.compound/C00076,"Calcium","Inorganic ions"
"cl[e]",1.5713161,0.14857101,0.13842986,"cl","Chloride","Cl",NA,NA,"Chloride","Inorganic ions"
"cobalt2[e]",1.5713161,0.14857101,0.13842986,"cobalt2","Co2+","Co",C00175,http://identifiers.org/kegg.compound/C00175,"Co2+","Inorganic ions"
"cu2[e]",1.5713161,0.14857101,0.13842986,"cu2","Copper","Cu",C00070,http://identifiers.org/kegg.compound/C00070,"Copper","Inorganic ions"
"k[e]",1.5713161,0.14857101,0.13842986,"k","Potassium","K",NA,NA,"Potassium","Inorganic ions"
"mg2[e]",1.5713161,0.14857101,0.13842986,"mg2","Magnesium","Mg",C00305,http://identifiers.org/kegg.compound/C00305,"Magnesium","Inorganic ions"
"pydx[e]",1.5869906,0.17402514,0.14082195,"pydx","Pyridoxal","C8H9NO3",C00250,http://identifiers.org/kegg.compound/C00250,"Pyridoxal","Vitamins/Co-factors"
"ura[e]",1.6172244,0.21108870,0.14028453,"ura","Uracil","C4H4N2O2",NA,NA,"Uracil","Nucleotides"
"dad_2[e]",1.6453025,0.12296433,0.11635021,"dad_2","Deoxyadenosine","C10H13N5O3",C00559,http://identifiers.org/kegg.compound/C00559,"Deoxyadenosine","Nucleotides"
"cytd[e]",1.6461786,0.11204379,0.11461210,"cytd","Cytidine","C9H13N3O5",NA,NA,"Cytidine","Nucleotides"
"dcyt[e]",1.6461786,0.11204379,0.11461210,"dcyt","Deoxycytidine","C9H13N3O4",C00881,http://identifiers.org/kegg.compound/C00881,"Deoxycytidine","Nucleotides"
"ocdca[e]",1.6461786,0.11204379,0.11461210,"ocdca","Octadecanoate (n-C18:0)","C18H35O2",NA,NA,"Octadecanoate (n-C18:0)","Lipids"
"fol[e]",1.6497971,0.16353759,0.12292470,"fol","Folate","C19H17N7O6",NA,NA,"Folate","Vitamins/Co-factors"
"3mop[e]",1.7385366,0.13270732,0.09919161,"3mop","(S)-3-Methyl-2-oxopentanoate","C6H9O3",C00671,http://identifiers.org/kegg.compound/C00671,"(S)-3-Methyl-2-oxopentanoate","Carboxylic acids"
"cellb[e]",1.8049162,0.26208924,0.13092634,"cellb","Cellobiose","C12H22O11",NA,NA,"Cellobiose","Carbohydrates"
