sample_id,taxon,TSNE 1,TSNE 2
s20011_0001,Akkermansia,-41.62629,-21.268959
s20011_0001,Bacteroides,7.1629224,19.423496
s20011_0001,Blautia,4.5584526,-67.14045
s20011_0001,Faecalibacterium,-13.09863,-15.627763
s20011_0002,Bacteroides,7.093894,21.89194
s20011_0002,Blautia,14.294736,-56.78636
s20011_0003,Akkermansia,-47.294147,-20.60058
s20011_0003,Alistipes,37.916756,17.613953
s20011_0003,Bacteroides,11.708655,39.148888
s20011_0003,Barnesiella,8.343258,51.480137
s20011_0003,Bifidobacterium,-36.643505,38.823517
s20011_0003,Blautia,5.2946334,-70.967155
s20011_0003,Coprococcus,-2.999957,-28.113205
s20011_0003,Faecalibacterium,-17.9912,-11.159593
s20011_0003,Streptococcus,-24.613312,-39.605568
s20011_0004,Alistipes,31.260334,8.760952
s20011_0004,Bacteroides,2.5320837,31.317503
s20011_0004,Butyrivibrio,-28.477852,2.751439
s20011_0004,Faecalibacterium,-7.572145,-16.873251
s20011_0005,Alistipes,9.759464,19.725534
s20011_0005,Bacteroides,-3.8844666,37.575386
s20011_0005,Blautia,10.488774,-64.54462
s20011_0005,Faecalibacterium,-13.237892,-1.9712675
s20011_0006,Bacteroides,16.939924,49.566273
s20011_0006,Blautia,6.501752,-63.99512
s20011_0006,Faecalibacterium,-16.8234,-14.3113
s20011_0006,Roseburia,-35.395164,5.694552
s20011_0006,Subdoligranulum,-25.325985,8.675846
s20011_0007,Akkermansia,-20.833786,15.60491
s20011_0007,Anaerostipes,-34.71828,-3.812207
s20011_0007,Bacteroides,11.831003,44.13026
s20011_0007,Blautia,13.205019,-71.37777
s20011_0007,Faecalibacterium,4.3762875,-26.865664
s20011_0007,Parasutterella,3.3016245,61.542522
s20011_0008,Bacteroides,12.7177725,21.573551
s20011_0008,Blautia,13.197963,-62.541626
s20011_0008,Faecalibacterium,5.9180136,-25.64843
s20011_0008,Lachnoclostridium,22.798843,-15.266395
s20011_0008,Roseburia,-34.562466,2.7035532
s20011_0009,Alistipes,33.008247,7.45349
s20011_0009,Bacteroides,18.38115,25.960867
s20011_0009,Barnesiella,63.670418,-17.915731
s20011_0009,Bifidobacterium,-39.290447,35.794155
s20011_0009,Blautia,6.083816,-77.894
s20011_0009,Faecalibacterium,-11.62416,-5.957468
s20011_0010,Akkermansia,-50.1745,-18.101147
s20011_0010,Alistipes,36.035885,25.313894
s20011_0010,Bacteroides,18.772795,27.946867
s20011_0010,Barnesiella,62.110218,-19.700138
