taxon,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Akkermansia,growth_rate,H,T1DM,7,17,54,0.757,0.757,ns
Akkermansia,growth_rate,H,T3cDM,7,14,40,0.535,0.757,ns
Akkermansia,growth_rate,T1DM,T3cDM,17,14,110,0.739,0.757,ns
Blautia,growth_rate,H,T1DM,10,21,168,0.007,0.02,*
Blautia,growth_rate,H,T3cDM,10,17,126,0.04,0.061,ns
Blautia,growth_rate,T1DM,T3cDM,21,17,146,0.352,0.352,ns
Escherichia,growth_rate,H,T1DM,6,11,25,0.462,0.462,ns
Escherichia,growth_rate,H,T3cDM,6,14,26,0.207,0.462,ns
Escherichia,growth_rate,T1DM,T3cDM,11,14,62,0.434,0.462,ns
Faecalibacterium,growth_rate,H,T1DM,9,21,80,0.533,0.533,ns
Faecalibacterium,growth_rate,H,T3cDM,9,15,97,0.084,0.126,ns
Faecalibacterium,growth_rate,T1DM,T3cDM,21,15,251,0.002,0.006,**
Streptococcus,growth_rate,H,T1DM,10,17,109,0.243,0.285,ns
Streptococcus,growth_rate,H,T3cDM,10,15,55,0.285,0.285,ns
Streptococcus,growth_rate,T1DM,T3cDM,17,15,71,0.033,0.099,ns
Subdoligranulum,growth_rate,H,T1DM,10,21,129,0.327,0.518,ns
Subdoligranulum,growth_rate,H,T3cDM,10,12,75,0.346,0.518,ns
Subdoligranulum,growth_rate,T1DM,T3cDM,21,12,144,0.518,0.518,ns
