.pred_class,.pred_DM,.pred_PDM,Type
T3cDM,0.35834731257493613,0.6416526874250639,T3cDM
T1DM,0.7688776168293602,0.2311223831706398,T1DM
T3cDM,0.07533275693262076,0.9246672430673792,T3cDM
T3cDM,0.46554247532785376,0.5344575246721462,T3cDM
T3cDM,0.48242608213704874,0.5175739178629513,T1DM
T1DM,0.5287345630368325,0.47126543696316753,T1DM
T1DM,0.5886229823268662,0.41137701767313384,T1DM
T3cDM,0.28783962139664243,0.7121603786033576,T3cDM
T1DM,0.9037350478899967,0.09626495211000329,T1DM
T1DM,0.6055396024529989,0.3944603975470012,T1DM
T1DM,0.6955415463790753,0.3044584536209247,T3cDM
