microbe,clinical_var,cor,p_value,p_adj,signif
g__Akkermansia,Smoking Status,0.23202182256470974,0.11254394185023733,0.45017576740094933,
g__CAG-352,Smoking Status,-0.11200331746056391,0.448500928802939,0.7363704529961904,
g__Escherichia-Shigella,Smoking Status,0.3995455731239161,0.004902278939677131,0.11140944389454535,**
g__Faecalibacterium,Smoking Status,-0.308882393789429,0.03266877860124812,0.261350228809985,*
g__Blautia,Smoking Status,-0.29188568655868546,0.044113690887409476,0.2774684337911814,*
g__Streptococcus,Smoking Status,0.296591505071958,0.04065874614590949,0.2774684337911814,*
g__Subdoligranulum,Smoking Status,-0.1740856731709538,0.23666239764930502,0.6753946457627997,
g__Fusicatenibacter,Smoking Status,-0.24003039893266084,0.10032792488136914,0.42916298234010236,
g__Akkermansia,Short-acting Insulin (BS),-0.017934155703434266,0.9037022095864213,0.918046689103666,
g__CAG-352,Short-acting Insulin (BS),-0.09515144400780606,0.520020636720664,0.7363704529961904,
g__Escherichia-Shigella,Short-acting Insulin (BS),0.1471999495949713,0.31808507340110914,0.6990797297063173,
g__Faecalibacterium,Short-acting Insulin (BS),0.10938121524916421,0.45926096675097405,0.7363704529961904,
g__Blautia,Short-acting Insulin (BS),-0.3782177996812241,0.008035962750923902,0.11140944389454535,**
g__Streptococcus,Short-acting Insulin (BS),-0.17144933041027127,0.24394743254619758,0.6753946457627997,
g__Subdoligranulum,Short-acting Insulin (BS),-0.16815141534565278,0.2532729921610499,0.6753946457627997,
g__Fusicatenibacter,Short-acting Insulin (BS),-0.14847269440063054,0.31387232292469786,0.6990797297063173,
g__Akkermansia,Mixed Insulin (BS),-0.058195233067515964,0.6943979605275895,0.8379725786140539,
g__CAG-352,Mixed Insulin (BS),-0.10389659462094461,0.4822128470370265,0.7363704529961904,
g__Escherichia-Shigella,Mixed Insulin (BS),-0.0969864868610399,0.5119666046575833,0.7363704529961904,
g__Faecalibacterium,Mixed Insulin (BS),0.12944681941218286,0.38054575825905157,0.7163214273111559,
g__Blautia,Mixed Insulin (BS),0.21485863073832515,0.14250263030760313,0.5364804905698,
g__Streptococcus,Mixed Insulin (BS),0.37464006868968447,0.008703862804261355,0.11140944389454535,**
g__Subdoligranulum,Mixed Insulin (BS),-0.07440016545345268,0.6152669210259581,0.8036139376665575,
g__Fusicatenibacter,Mixed Insulin (BS),0.2873215633325021,0.0476898870578593,0.2774684337911814,*
g__Akkermansia,Long-acting Insulin (BS),0.19404927427841803,0.18630907447355013,0.567799084109867,
g__CAG-352,Long-acting Insulin (BS),-0.14467576941040866,0.32654546801578765,0.6990797297063173,
g__Escherichia-Shigella,Long-acting Insulin (BS),0.043344280532308405,0.7698893005513527,0.8644371093909925,
g__Faecalibacterium,Long-acting Insulin (BS),-0.01972674411063783,0.8941292010630888,0.918046689103666,
g__Blautia,Long-acting Insulin (BS),-0.24189055913473542,0.0976425474494553,0.42916298234010236,
