feature,enrich_group,ef_lda,pvalue,padj,feature_mod,signed_lda,comparison,condition
[Ruminococcus] gnavus group,f,3.44217100388149,0.01781572024039073,0.01781572024039073,[Ruminococcus] gnavus group,-3.44217100388149,f vs m,T3cDM
Negativibacillus,f,3.054388556804467,0.01231659021380227,0.01231659021380227,Negativibacillus,-3.054388556804467,f vs m,T3cDM
Eubacterium,f,2.7893940961812254,0.048406019176147716,0.048406019176147716,Eubacterium,-2.7893940961812254,f vs m,T3cDM
Eggerthella,f,2.599043792152564,0.0222955705920471,0.0222955705920471,Eggerthella,-2.599043792152564,f vs m,T3cDM
Shuttleworthia,f,2.3042902593823036,0.045588197041089205,0.045588197041089205,Shuttleworthia,-2.3042902593823036,f vs m,T3cDM
Desulfovibrionales__,f,2.128024931975208,0.048406019176147716,0.048406019176147716,Desulfovibrionales__,-2.128024931975208,f vs m,T3cDM
Alphaproteobacteria___,f,2.116933321839462,0.048406019176147716,0.048406019176147716,Alphaproteobacteria___,-2.116933321839462,f vs m,T3cDM
Actinobacteriota____,f,2.0635043568955758,0.0222955705920471,0.0222955705920471,Actinobacteriota____,-2.0635043568955758,f vs m,T3cDM
Ruminococcus,m,4.371945312897468,0.020488835485437288,0.020488835485437288,Ruminococcus,4.371945312897468,f vs m,T3cDM
Subdoligranulum,m,4.124114937048025,0.032603706787507854,0.032603706787507854,Subdoligranulum,4.124114937048025,f vs m,T3cDM
Asaccharobacter,m,2.258463058178811,0.03427805429340173,0.03427805429340173,Asaccharobacter,2.258463058178811,f vs m,T3cDM
Blautia,f,4.405644139753357,0.02423569535069302,0.02423569535069302,Blautia,-4.405644139753357,f vs m,T1D
Turicibacter,m,2.1045720832162322,0.047704705856476,0.047704705856476,Turicibacter,2.1045720832162322,f vs m,T1D
Romboutsia,f,3.5471881430380314,0.02638767759969592,0.02638767759969592,Romboutsia,-3.5471881430380314,f vs m,H
Intestinibacter,f,3.344415907092022,0.018602929901135698,0.018602929901135698,Intestinibacter,-3.344415907092022,f vs m,H
Turicibacter,f,3.1983337143172026,0.018602929901135698,0.018602929901135698,Turicibacter,-3.1983337143172026,f vs m,H
Family XIII UCG-001,f,2.9625163038815385,0.008815858177902031,0.008815858177902031,Family XIII UCG-001,-2.9625163038815385,f vs m,H
Asaccharospora,f,2.736244581911349,0.044538615927624724,0.044538615927624724,Asaccharospora,-2.736244581911349,f vs m,H
Barnesiella,m,4.092611838049839,0.04720176769014229,0.04720176769014229,Barnesiella,4.092611838049839,f vs m,H
Erysipelotrichaceae UCG-003,m,4.056924624054556,0.04653298507451054,0.04653298507451054,Erysipelotrichaceae UCG-003,4.056924624054556,f vs m,H
Phascolarctobacterium,m,3.68402437807623,0.018602929901135698,0.018602929901135698,Phascolarctobacterium,3.68402437807623,f vs m,H
