taxon,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
Bacteroides,growth_rate,H,T1DM,26594,56329,786626200,1.2799999999999999e-31,1.2799999999999999e-31,****
Bacteroides,growth_rate,H,T3cDM,26594,42397,614456009,2.1599999999999996e-88,6.479999999999998e-88,****
Bacteroides,growth_rate,T1DM,T3cDM,56329,42397,1277946083,6.889999999999999e-80,1.0299999999999998e-79,****
Blautia,growth_rate,H,T1DM,26594,35669,757683686,0,0,****
Blautia,growth_rate,H,T3cDM,26594,36796,605006981,0,0,****
Blautia,growth_rate,T1DM,T3cDM,35669,36796,282685860,0,0,****
Akkermansia,growth_rate,H,T1DM,11225,20483,39402075,0,0,****
Akkermansia,growth_rate,H,T3cDM,11225,27541,48105000,0,0,****
Akkermansia,growth_rate,T1DM,T3cDM,20483,27541,337367089,4.739999999999997e-298,4.739999999999997e-298,****
Faecalibacterium,growth_rate,H,T1DM,20997,51931,651495649,0,0,****
Faecalibacterium,growth_rate,H,T3cDM,20997,28316,361327651,0,0,****
Faecalibacterium,growth_rate,T1DM,T3cDM,51931,28316,859948358,0,0,****
Alistipes,growth_rate,H,T1DM,16869,41782,269368206,0,0,****
Alistipes,growth_rate,H,T3cDM,16869,23929,82476423,0,0,****
Alistipes,growth_rate,T1DM,T3cDM,41782,23929,229484857,0,0,****
Barnesiella,growth_rate,H,T1DM,5924,16682,65430580,0,0,****
Barnesiella,growth_rate,H,T3cDM,5924,2946,0,0,0,****
Barnesiella,growth_rate,T1DM,T3cDM,16682,2946,0,0,0,****
Bifidobacterium,growth_rate,H,T1DM,8464,9275,52467380,0,0,****
Bifidobacterium,growth_rate,H,T3cDM,8464,8123,30758402,1.12e-32,1.12e-32,****
Bifidobacterium,growth_rate,T1DM,T3cDM,9275,8123,19331652,0,0,****
Roseburia,growth_rate,H,T1DM,8288,8066,44630880,0,0,****
Roseburia,growth_rate,H,T3cDM,8288,16052,68763232,1.38e-5,1.38e-5,****
Roseburia,growth_rate,T1DM,T3cDM,8066,16052,68041026,7.19e-11,1.08e-10,****
Subdoligranulum,growth_rate,H,T1DM,13708,4884,27480915,6.479999999999999e-79,6.479999999999999e-79,****
Subdoligranulum,growth_rate,H,T3cDM,13708,5300,13223808,0,0,****
Subdoligranulum,growth_rate,T1DM,T3cDM,4884,5300,6206607,0,0,****
Ruminococcus,growth_rate,H,T1DM,8506,10602,54527205,9.319999999999998e-140,9.319999999999998e-140,****
Ruminococcus,growth_rate,H,T3cDM,8506,2649,0,0,0,****
Ruminococcus,growth_rate,T1DM,T3cDM,10602,2649,5833098,0,0,****
