,PC1 (43.09%),PC2 (23.56%),Type
0,-6119.006610951341,2770.202236897253,H
1,-7272.170375532151,4956.625195159658,T3cDM
2,-2365.966496459032,-1535.0160728459095,T3cDM
3,1061.1465970330237,-3895.0208593020916,T1DM
4,5556.091814528175,1724.487449138574,T1DM
5,-1241.743294897739,-1180.1229111134353,H
6,-3618.8836650249564,133.80800490332007,T3cDM
7,-2052.5083270726013,-402.46514382021115,T3cDM
8,-4130.366116269008,1147.243141954528,T1DM
9,-4705.1489087798445,176.9760852297936,T1DM
10,-5769.737547704759,2224.852096710618,H
11,1749.6746124724218,-4186.065771000804,T3cDM
12,-2904.194119801653,-349.72016211674224,T1DM
13,-318.01786708451,-6405.005950060815,T1DM
14,-132.45362598426377,-3856.249024147338,H
15,-2067.567911527603,-1423.412292837429,T3cDM
16,-2139.594115727981,-7226.617530614978,T3cDM
17,-15805.069601738245,14208.551091704358,T1DM
18,-7383.266793079795,5503.154197285626,T1DM
19,601.7836204328638,-3632.227285456753,H
20,-399.643178283884,-2015.6171572633536,T3cDM
21,-6536.17134972433,4074.5051625614838,T3cDM
22,4458.95509611705,-2309.155513787105,T1DM
23,-3207.16809558514,597.6345683471036,T1DM
24,25098.822338473903,13132.163693095796,H
25,-6961.719334872368,4292.958223297992,T3cDM
26,3271.0322474966965,-7519.52911554411,T3cDM
27,-1117.1107289476781,-1937.1680079458988,T1DM
28,-4347.909265577206,3145.548005195259,T1DM
29,1067.0257486788776,-4438.99717125864,H
30,-2621.903849727386,-1740.6426845356173,T3cDM
31,17671.49947524226,7894.657268446231,T1DM
32,-3161.699516724192,593.0152291490226,T1DM
33,797.8517299009918,-3911.929875638878,H
34,2927.0452010135277,-12223.198662653156,T3cDM
35,19529.710771714363,7343.569412343722,T1DM
36,-19243.86602465877,18576.600429307604,T1DM
37,-3790.309580443444,1627.7537970423934,H
38,12473.581010634643,-6110.579619776205,T3cDM
39,26345.90633774483,11109.990215385013,T1DM
40,-341.4758333446101,-15027.065915365873,T1DM
41,-3275.779433147851,613.9288244128705,H
42,-1218.7433043433753,-3325.150924740441,T3cDM
43,128.15116481015238,765.7686433324153,T1DM
44,5076.915101105274,-3560.0268478603957,T3cDM
45,-2798.9318408987233,170.99005331130894,T1DM
46,685.7825015097457,-3877.794874447114,T3cDM
47,-1452.8486549943577,-4696.203650078625,T1DM
