,Group,Family
0,Shared_T3cDM_T1DM_only,Aeromonadaceae
1,Shared_T3cDM_T1DM_only,Anaerovirgula
2,Shared_T3cDM_T1DM_only,Bacillales
3,Shared_T3cDM_T1DM_only,Comamonadaceae
4,Shared_T3cDM_T1DM_only,Cyclobacteriaceae
5,Shared_T3cDM_T1DM_only,Micrococcaceae
6,Shared_T3cDM_T1DM_only,Negativicutes
7,Shared_T3cDM_T1DM_only,Oxalobacteraceae
8,Shared_T3cDM_T1DM_only,Pectobacteriaceae
9,Shared_T3cDM_T1DM_only,Proteobacteria
10,Shared_T3cDM_T1DM_only,Puniceicoccaceae
11,Shared_T3cDM_T1DM_only,RH-aaj90h05
12,Shared_T3cDM_T1DM_only,Staphylococcaceae
13,Shared_T3cDM_T1DM_only,Verrucomicrobiae
14,Shared_T3cDM_T1DM_only,Verrucomicrobiales
15,Shared_T3cDM_T1DM_only,Yersiniaceae
16,Unique_H,Leptotrichiaceae
17,Unique_T1DM,Aerococcaceae
18,Unique_T1DM,Brachyspiraceae
19,Unique_T1DM,Calderihabitantaceae
20,Unique_T1DM,Celerinatantimonadaceae
21,Unique_T1DM,Corynebacteriaceae
22,Unique_T1DM,Cyanobacteriia
23,Unique_T1DM,DTU014
24,Unique_T1DM,Desulfitibacteraceae
25,Unique_T1DM,Gemellaceae
26,Unique_T1DM,Gracilibacteraceae
27,Unique_T1DM,Hafniaceae
28,Unique_T1DM,Heliobacteriaceae
29,Unique_T1DM,Methylococcaceae
30,Unique_T1DM,Microbacteriaceae
31,Unique_T1DM,Rhodobacteraceae
32,Unique_T1DM,Saccharimonadaceae
33,Unique_T1DM,Sedimentibacteraceae
34,Unique_T1DM,Succinivibrionaceae
35,Unique_T1DM,Syntrophomonadaceae
36,Unique_T1DM,vadinBE97
37,Unique_T3cDM,Carnobacteriaceae
38,Unique_T3cDM,Eubacteriaceae
39,Unique_T3cDM,JI49D030
40,Unique_T3cDM,Verrucomicrobiota
41,Unique_T3cDM,Xanthomonadaceae
