"Family",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Akkermansiaceae","Abundance","H","T1DM",10,21,98,0.721,0.721,"ns"
"Akkermansiaceae","Abundance","H","T3cDM",10,17,70,0.367,0.698,"ns"
"Akkermansiaceae","Abundance","T1DM","T3cDM",21,17,157.5,0.465,0.698,"ns"
"Bacteroidaceae","Abundance","H","T1DM",10,21,53,0.028,0.042,"*"
"Bacteroidaceae","Abundance","H","T3cDM",10,17,116,0.125,0.125,"ns"
"Bacteroidaceae","Abundance","T1DM","T3cDM",21,17,306,0.00019,0.00057,"***"
"Bifidobacteriaceae","Abundance","H","T1DM",8,17,41.5,0.095,0.132,"ns"
"Bifidobacteriaceae","Abundance","H","T3cDM",8,16,32,0.035,0.106,"ns"
"Bifidobacteriaceae","Abundance","T1DM","T3cDM",17,16,95,0.132,0.132,"ns"
"Enterobacteriaceae","Abundance","H","T1DM",8,16,78,0.342,0.342,"ns"
"Enterobacteriaceae","Abundance","H","T3cDM",8,13,33,0.172,0.258,"ns"
"Enterobacteriaceae","Abundance","T1DM","T3cDM",16,13,43.5,0.005,0.016,"*"
"Lachnospiraceae","Abundance","H","T1DM",10,21,141,0.135,0.364,"ns"
"Lachnospiraceae","Abundance","H","T3cDM",10,17,109,0.243,0.364,"ns"
"Lachnospiraceae","Abundance","T1DM","T3cDM",21,17,168,0.772,0.772,"ns"
"Rikenellaceae","Abundance","H","T1DM",10,21,114,0.719,0.719,"ns"
"Rikenellaceae","Abundance","H","T3cDM",10,17,117.5,0.104,0.156,"ns"
"Rikenellaceae","Abundance","T1DM","T3cDM",21,17,236,0.092,0.156,"ns"
"Ruminococcaceae","Abundance","H","T1DM",10,21,133,0.25,0.25,"ns"
"Ruminococcaceae","Abundance","H","T3cDM",10,17,170,2.2e-05,3.3e-05,"****"
"Ruminococcaceae","Abundance","T1DM","T3cDM",21,17,357,1.73e-07,5.19e-07,"****"
"Streptococcaceae","Abundance","H","T1DM",8,17,51.5,0.239,0.239,"ns"
"Streptococcaceae","Abundance","H","T3cDM",8,14,23.5,0.017,0.026,"*"
"Streptococcaceae","Abundance","T1DM","T3cDM",17,14,62.5,0.017,0.026,"*"
