"Family",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"Akkermansia","Abundance","H","T1DM",10,21,98,0.721,0.721,"ns"
"Akkermansia","Abundance","H","T3cDM",10,17,70,0.367,0.698,"ns"
"Akkermansia","Abundance","T1DM","T3cDM",21,17,157.5,0.465,0.698,"ns"
"Blautia","Abundance","H","T1DM",10,21,169,0.006,0.014,"*"
"Blautia","Abundance","H","T3cDM",10,17,136,0.009,0.014,"*"
"Blautia","Abundance","T1DM","T3cDM",21,17,183,0.908,0.908,"ns"
"Escherichia-Shigella","Abundance","H","T1DM",8,16,78,0.342,0.342,"ns"
"Escherichia-Shigella","Abundance","H","T3cDM",8,13,33,0.172,0.258,"ns"
"Escherichia-Shigella","Abundance","T1DM","T3cDM",16,13,43.5,0.005,0.016,"*"
"Faecalibacterium","Abundance","H","T1DM",10,21,100,0.852,0.852,"ns"
"Faecalibacterium","Abundance","H","T3cDM",10,17,151.5,0.000863,0.001,"**"
"Faecalibacterium","Abundance","T1DM","T3cDM",21,17,350,5.02e-07,1.51e-06,"****"
"Fusicatenibacter","Abundance","H","T1DM",9,19,75,0.623,0.712,"ns"
"Fusicatenibacter","Abundance","H","T3cDM",9,16,65,0.712,0.712,"ns"
"Fusicatenibacter","Abundance","T1DM","T3cDM",19,16,167,0.631,0.712,"ns"
"Streptococcus","Abundance","H","T1DM",8,17,51.5,0.239,0.239,"ns"
"Streptococcus","Abundance","H","T3cDM",8,14,23.5,0.017,0.026,"*"
"Streptococcus","Abundance","T1DM","T3cDM",17,14,62.5,0.017,0.026,"*"
"Subdoligranulum","Abundance","H","T1DM",10,20,149,0.033,0.033,"*"
"Subdoligranulum","Abundance","H","T3cDM",10,16,136,0.003,0.008,"**"
"Subdoligranulum","Abundance","T1DM","T3cDM",20,16,238,0.013,0.019,"*"
